,Survived,Name,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize
109,1,"Moran, Miss. Bertha",1,28.0,1,0,24.15,Queenstown,2
110,0,"Porter, Mr. Walter Chamberlain",0,47.0,0,0,52.0,Southampton,1
111,0,"Zabour, Miss. Hileni",1,14.5,1,0,14.4542,Cherbourg,2
112,0,"Barton, Mr. David John",0,22.0,0,0,8.05,Southampton,1
113,0,"Jussila, Miss. Katriina",1,20.0,1,0,9.825,Southampton,2
114,0,"Attalah, Miss. Malake",1,17.0,0,0,14.4583,Cherbourg,1
115,0,"Pekoniemi, Mr. Edvard",0,21.0,0,0,7.925,Southampton,1
116,0,"Connors, Mr. Patrick",0,70.5,0,0,7.75,Queenstown,1
117,0,"Turpin, Mr. William John Robert",0,29.0,1,0,21.0,Southampton,2
118,0,"Baxter, Mr. Quigg Edmond",0,24.0,0,1,247.5208,Cherbourg,2
119,0,"Andersson, Miss. Ellis Anna Maria",1,2.0,4,2,31.275,Southampton,7
120,0,"Hickman, Mr. Stanley George",0,21.0,2,0,73.5,Southampton,3
121,0,"Moore, Mr. Leonard Charles",0,28.0,0,0,8.05,Southampton,1
122,0,"Nasser, Mr. Nicholas",0,32.5,1,0,30.0708,Cherbourg,2
123,1,"Webber, Miss. Susan",1,32.5,0,0,13.0,Southampton,1
124,0,"White, Mr. Percival Wayland",0,54.0,0,1,77.2875,Southampton,2
125,1,"Nicola-Yarred, Master. Elias",0,12.0,1,0,11.2417,Cherbourg,2
126,0,"McMahon, Mr. Martin",0,28.0,0,0,7.75,Queenstown,1
127,1,"Madsen, Mr. Fridtjof Arne",0,24.0,0,0,7.1417,Southampton,1
128,1,"Peter, Miss. Anna",1,28.0,1,1,22.3583,Cherbourg,3
129,0,"Ekstrom, Mr. Johan",0,45.0,0,0,6.975,Southampton,1
130,0,"Drazenoic, Mr. Jozef",0,33.0,0,0,7.8958,Cherbourg,1
131,0,"Coelho, Mr. Domingos Fernandeo",0,20.0,0,0,7.05,Southampton,1
132,0,"Robins, Mrs. Alexander A (Grace Charity Laury)",1,47.0,1,0,14.5,Southampton,2
133,1,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",1,29.0,1,0,26.0,Southampton,2
134,0,"Sobey, Mr. Samuel James Hayden",0,25.0,0,0,13.0,Southampton,1
135,0,"Richard, Mr. Emile",0,23.0,0,0,15.0458,Cherbourg,1
136,1,"Newsom, Miss. Helen Monypeny",1,19.0,0,2,26.2833,Southampton,3
137,0,"Futrelle, Mr. Jacques Heath",0,37.0,1,0,53.1,Southampton,2
138,0,"Osen, Mr. Olaf Elon",0,16.0,0,0,9.2167,Southampton,1
139,0,"Giglio, Mr. Victor",0,24.0,0,0,79.2,Cherbourg,1
140,0,"Boulos, Mrs. Joseph (Sultana)",1,28.0,0,2,15.2458,Cherbourg,3
141,1,"Nysten, Miss. Anna Sofia",1,22.0,0,0,7.75,Southampton,1
142,1,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",1,24.0,1,0,15.85,Southampton,2
143,0,"Burke, Mr. Jeremiah",0,19.0,0,0,6.75,Queenstown,1
144,0,"Andrew, Mr. Edgardo Samuel",0,18.0,0,0,11.5,Southampton,1
145,0,"Nicholls, Mr. Joseph Charles",0,19.0,1,1,36.75,Southampton,3
146,1,"Andersson, Mr. August Edvard (""Wennerstrom"")",0,27.0,0,0,7.7958,Southampton,1
147,0,"Ford, Miss. Robina Maggie ""Ruby""",1,9.0,2,2,34.375,Southampton,5
148,0,"Navratil, Mr. Michel (""Louis M Hoffman"")",0,36.5,0,2,26.0,Southampton,3
149,0,"Byles, Rev. Thomas Roussel Davids",0,42.0,0,0,13.0,Southampton,1
150,0,"Bateman, Rev. Robert James",0,51.0,0,0,12.525,Southampton,1
151,1,"Pears, Mrs. Thomas (Edith Wearne)",1,22.0,1,0,66.6,Southampton,2
152,0,"Meo, Mr. Alfonzo",0,55.5,0,0,8.05,Southampton,1
153,0,"van Billiard, Mr. Austin Blyler",0,40.5,0,2,14.5,Southampton,3
154,0,"Olsen, Mr. Ole Martin",0,28.0,0,0,7.3125,Southampton,1
155,0,"Williams, Mr. Charles Duane",0,51.0,0,1,61.3792,Cherbourg,2
156,1,"Gilnagh, Miss. Katherine ""Katie""",1,16.0,0,0,7.7333,Queenstown,1
157,0,"Corn, Mr. Harry",0,30.0,0,0,8.05,Southampton,1
158,0,"Smiljanic, Mr. Mile",0,28.0,0,0,8.6625,Southampton,1
159,0,"Sage, Master. Thomas Henry",0,28.0,8,2,69.55,Southampton,11
160,0,"Cribb, Mr. John Hatfield",0,44.0,0,1,16.1,Southampton,2
161,1,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",1,40.0,0,0,15.75,Southampton,1
162,0,"Bengtsson, Mr. John Viktor",0,26.0,0,0,7.775,Southampton,1
163,0,"Calic, Mr. Jovo",0,17.0,0,0,8.6625,Southampton,1
164,0,"Panula, Master. Eino Viljami",0,1.0,4,1,39.6875,Southampton,6
165,1,"Goldsmith, Master. Frank John William ""Frankie""",0,9.0,0,2,20.525,Southampton,3
166,1,"Chibnall, Mrs. (Edith Martha Bowerman)",1,28.0,0,1,55.0,Southampton,2
167,0,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",1,45.0,1,4,27.9,Southampton,6
168,0,"Baumann, Mr. John D",0,28.0,0,0,25.925,Southampton,1
169,0,"Ling, Mr. Lee",0,28.0,0,0,56.4958,Southampton,1
170,0,"Van der hoef, Mr. Wyckoff",0,61.0,0,0,33.5,Southampton,1
171,0,"Rice, Master. Arthur",0,4.0,4,1,29.125,Queenstown,6
172,1,"Johnson, Miss. Eleanor Ileen",1,1.0,1,1,11.1333,Southampton,3
173,0,"Sivola, Mr. Antti Wilhelm",0,21.0,0,0,7.925,Southampton,1
174,0,"Smith, Mr. James Clinch",0,56.0,0,0,30.6958,Cherbourg,1
175,0,"Klasen, Mr. Klas Albin",0,18.0,1,1,7.8542,Southampton,3
176,0,"Lefebre, Master. Henry Forbes",0,28.0,3,1,25.4667,Southampton,5
177,0,"Isham, Miss. Ann Elizabeth",1,50.0,0,0,28.7125,Cherbourg,1
178,0,"Hale, Mr. Reginald",0,30.0,0,0,13.0,Southampton,1
179,0,"Leonard, Mr. Lionel",0,36.0,0,0,0.0,Southampton,1
180,0,"Sage, Miss. Constance Gladys",1,28.0,8,2,69.55,Southampton,11
181,0,"Pernot, Mr. Rene",0,28.0,0,0,15.05,Cherbourg,1
182,0,"Asplund, Master. Clarence Gustaf Hugo",0,9.0,4,2,31.3875,Southampton,7
183,1,"Becker, Master. Richard F",0,1.0,2,1,39.0,Southampton,4
184,1,"Kink-Heilmann, Miss. Luise Gretchen",1,4.0,0,2,22.025,Southampton,3
185,0,"Rood, Mr. Hugh Roscoe",0,28.0,0,0,50.0,Southampton,1
186,1,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",1,28.0,1,0,15.5,Queenstown,2
187,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",0,45.0,0,0,26.55,Southampton,1
188,0,"Bourke, Mr. John",0,40.0,1,1,15.5,Queenstown,3
189,0,"Turcin, Mr. Stjepan",0,36.0,0,0,7.8958,Southampton,1
190,1,"Pinsky, Mrs. (Rosa)",1,32.0,0,0,13.0,Southampton,1
191,0,"Carbines, Mr. William",0,19.0,0,0,13.0,Southampton,1
192,1,"Andersen-Jensen, Miss. Carla Christine Nielsine",1,19.0,1,0,7.8542,Southampton,2
193,1,"Navratil, Master. Michel M",0,3.0,1,1,26.0,Southampton,3
194,1,"Brown, Mrs. James Joseph (Margaret Tobin)",1,44.0,0,0,27.7208,Cherbourg,1
195,1,"Lurette, Miss. Elise",1,58.0,0,0,146.5208,Cherbourg,1
196,0,"Mernagh, Mr. Robert",0,28.0,0,0,7.75,Queenstown,1
197,0,"Olsen, Mr. Karl Siegwart Andreas",0,42.0,0,1,8.4042,Southampton,2
198,1,"Madigan, Miss. Margaret ""Maggie""",1,28.0,0,0,7.75,Queenstown,1
199,0,"Yrois, Miss. Henriette (""Mrs Harbeck"")",1,24.0,0,0,13.0,Southampton,1
200,0,"Vande Walle, Mr. Nestor Cyriel",0,28.0,0,0,9.5,Southampton,1
201,0,"Sage, Mr. Frederick",0,28.0,8,2,69.55,Southampton,11
202,0,"Johanson, Mr. Jakob Alfred",0,34.0,0,0,6.4958,Southampton,1
203,0,"Youseff, Mr. Gerious",0,45.5,0,0,7.225,Cherbourg,1
204,1,"Cohen, Mr. Gurshon ""Gus""",0,18.0,0,0,8.05,Southampton,1
205,0,"Strom, Miss. Telma Matilda",1,2.0,0,1,10.4625,Southampton,2
206,0,"Backstrom, Mr. Karl Alfred",0,32.0,1,0,15.85,Southampton,2
207,1,"Albimona, Mr. Nassef Cassem",0,26.0,0,0,18.7875,Cherbourg,1
208,1,"Carr, Miss. Helen ""Ellen""",1,16.0,0,0,7.75,Queenstown,1
209,1,"Blank, Mr. Henry",0,40.0,0,0,31.0,Cherbourg,1
210,0,"Ali, Mr. Ahmed",0,24.0,0,0,7.05,Southampton,1
211,1,"Cameron, Miss. Clear Annie",1,35.0,0,0,21.0,Southampton,1
212,0,"Perkin, Mr. John Henry",0,22.0,0,0,7.25,Southampton,1
213,0,"Givard, Mr. Hans Kristensen",0,30.0,0,0,13.0,Southampton,1
214,0,"Kiernan, Mr. Philip",0,28.0,1,0,7.75,Queenstown,2
215,1,"Newell, Miss. Madeleine",1,31.0,1,0,113.275,Cherbourg,2
216,1,"Honkanen, Miss. Eliina",1,27.0,0,0,7.925,Southampton,1
217,0,"Jacobsohn, Mr. Sidney Samuel",0,42.0,1,0,27.0,Southampton,2
218,1,"Bazzani, Miss. Albina",1,32.0,0,0,76.2917,Cherbourg,1
219,0,"Harris, Mr. Walter",0,30.0,0,0,10.5,Southampton,1
220,1,"Sunderland, Mr. Victor Francis",0,16.0,0,0,8.05,Southampton,1
221,0,"Bracken, Mr. James H",0,27.0,0,0,13.0,Southampton,1
222,0,"Green, Mr. George Henry",0,51.0,0,0,8.05,Southampton,1
223,0,"Nenkoff, Mr. Christo",0,28.0,0,0,7.8958,Southampton,1
224,1,"Hoyt, Mr. Frederick Maxfield",0,38.0,1,0,90.0,Southampton,2
225,0,"Berglund, Mr. Karl Ivar Sven",0,22.0,0,0,9.35,Southampton,1
226,1,"Mellors, Mr. William John",0,19.0,0,0,10.5,Southampton,1
227,0,"Lovell, Mr. John Hall (""Henry"")",0,20.5,0,0,7.25,Southampton,1
228,0,"Fahlstrom, Mr. Arne Jonas",0,18.0,0,0,13.0,Southampton,1
229,0,"Lefebre, Miss. Mathilde",1,28.0,3,1,25.4667,Southampton,5
230,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",1,35.0,1,0,83.475,Southampton,2
231,0,"Larsson, Mr. Bengt Edvin",0,29.0,0,0,7.775,Southampton,1
232,0,"Sjostedt, Mr. Ernst Adolf",0,59.0,0,0,13.5,Southampton,1
233,1,"Asplund, Miss. Lillian Gertrud",1,5.0,4,2,31.3875,Southampton,7
234,0,"Leyson, Mr. Robert William Norman",0,24.0,0,0,10.5,Southampton,1
235,0,"Harknett, Miss. Alice Phoebe",1,28.0,0,0,7.55,Southampton,1
236,0,"Hold, Mr. Stephen",0,44.0,1,0,26.0,Southampton,2
237,1,"Collyer, Miss. Marjorie ""Lottie""",1,8.0,0,2,26.25,Southampton,3
238,0,"Pengelly, Mr. Frederick William",0,19.0,0,0,10.5,Southampton,1
239,0,"Hunt, Mr. George Henry",0,33.0,0,0,12.275,Southampton,1
240,0,"Zabour, Miss. Thamine",1,28.0,1,0,14.4542,Cherbourg,2
241,1,"Murphy, Miss. Katherine ""Kate""",1,28.0,1,0,15.5,Queenstown,2
242,0,"Coleridge, Mr. Reginald Charles",0,29.0,0,0,10.5,Southampton,1
243,0,"Maenpaa, Mr. Matti Alexanteri",0,22.0,0,0,7.125,Southampton,1
244,0,"Attalah, Mr. Sleiman",0,30.0,0,0,7.225,Cherbourg,1
245,0,"Minahan, Dr. William Edward",0,44.0,2,0,90.0,Queenstown,3
246,0,"Lindahl, Miss. Agda Thorilda Viktoria",1,25.0,0,0,7.775,Southampton,1
247,1,"Hamalainen, Mrs. William (Anna)",1,24.0,0,2,14.5,Southampton,3
248,1,"Beckwith, Mr. Richard Leonard",0,37.0,1,1,52.5542,Southampton,3
249,0,"Carter, Rev. Ernest Courtenay",0,54.0,1,0,26.0,Southampton,2
250,0,"Reed, Mr. James George",0,28.0,0,0,7.25,Southampton,1
251,0,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",1,29.0,1,1,10.4625,Southampton,3
252,0,"Stead, Mr. William Thomas",0,62.0,0,0,26.55,Southampton,1
253,0,"Lobb, Mr. William Arthur",0,30.0,1,0,16.1,Southampton,2
254,0,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",1,41.0,0,2,20.2125,Southampton,3
255,1,"Touma, Mrs. Darwis (Hanne Youssef Razi)",1,29.0,0,2,15.2458,Cherbourg,3
256,1,"Thorne, Mrs. Gertrude Maybelle",1,28.0,0,0,79.2,Cherbourg,1
257,1,"Cherry, Miss. Gladys",1,30.0,0,0,86.5,Southampton,1
258,1,"Ward, Miss. Anna",1,35.0,0,0,512.3292,Cherbourg,1
259,1,"Parrish, Mrs. (Lutie Davis)",1,50.0,0,1,26.0,Southampton,2
260,0,"Smith, Mr. Thomas",0,28.0,0,0,7.75,Queenstown,1
261,1,"Asplund, Master. Edvin Rojj Felix",0,3.0,4,2,31.3875,Southampton,7
262,0,"Taussig, Mr. Emil",0,52.0,1,1,79.65,Southampton,3
263,0,"Harrison, Mr. William",0,40.0,0,0,0.0,Southampton,1
264,0,"Henry, Miss. Delia",1,28.0,0,0,7.75,Queenstown,1
265,0,"Reeves, Mr. David",0,36.0,0,0,10.5,Southampton,1
266,0,"Panula, Mr. Ernesti Arvid",0,16.0,4,1,39.6875,Southampton,6
267,1,"Persson, Mr. Ernst Ulrik",0,25.0,1,0,7.775,Southampton,2
268,1,"Graham, Mrs. William Thompson (Edith Junkins)",1,58.0,0,1,153.4625,Southampton,2
269,1,"Bissette, Miss. Amelia",1,35.0,0,0,135.6333,Southampton,1
270,0,"Cairns, Mr. Alexander",0,28.0,0,0,31.0,Southampton,1
271,1,"Tornquist, Mr. William Henry",0,25.0,0,0,0.0,Southampton,1
272,1,"Mellinger, Mrs. (Elizabeth Anne Maidment)",1,41.0,0,1,19.5,Southampton,2
273,0,"Natsch, Mr. Charles H",0,37.0,0,1,29.7,Cherbourg,2
274,1,"Healy, Miss. Hanora ""Nora""",1,28.0,0,0,7.75,Queenstown,1
275,1,"Andrews, Miss. Kornelia Theodosia",1,63.0,1,0,77.9583,Southampton,2
276,0,"Lindblom, Miss. Augusta Charlotta",1,45.0,0,0,7.75,Southampton,1
277,0,"Parkes, Mr. Francis ""Frank""",0,28.0,0,0,0.0,Southampton,1
278,0,"Rice, Master. Eric",0,7.0,4,1,29.125,Queenstown,6
279,1,"Abbott, Mrs. Stanton (Rosa Hunt)",1,35.0,1,1,20.25,Southampton,3
280,0,"Duane, Mr. Frank",0,65.0,0,0,7.75,Queenstown,1
281,0,"Olsson, Mr. Nils Johan Goransson",0,28.0,0,0,7.8542,Southampton,1
282,0,"de Pelsmaeker, Mr. Alfons",0,16.0,0,0,9.5,Southampton,1
283,1,"Dorking, Mr. Edward Arthur",0,19.0,0,0,8.05,Southampton,1
284,0,"Smith, Mr. Richard William",0,28.0,0,0,26.0,Southampton,1
285,0,"Stankovic, Mr. Ivan",0,33.0,0,0,8.6625,Cherbourg,1
286,1,"de Mulder, Mr. Theodore",0,30.0,0,0,9.5,Southampton,1
287,0,"Naidenoff, Mr. Penko",0,22.0,0,0,7.8958,Southampton,1
288,1,"Hosono, Mr. Masabumi",0,42.0,0,0,13.0,Southampton,1
289,1,"Connolly, Miss. Kate",1,22.0,0,0,7.75,Queenstown,1
290,1,"Barber, Miss. Ellen ""Nellie""",1,26.0,0,0,78.85,Southampton,1
291,1,"Bishop, Mrs. Dickinson H (Helen Walton)",1,19.0,1,0,91.0792,Cherbourg,2
292,0,"Levy, Mr. Rene Jacques",0,36.0,0,0,12.875,Cherbourg,1
293,0,"Haas, Miss. Aloisia",1,24.0,0,0,8.85,Southampton,1
294,0,"Mineff, Mr. Ivan",0,24.0,0,0,7.8958,Southampton,1
295,0,"Lewy, Mr. Ervin G",0,28.0,0,0,27.7208,Cherbourg,1
296,0,"Hanna, Mr. Mansour",0,23.5,0,0,7.2292,Cherbourg,1
297,0,"Allison, Miss. Helen Loraine",1,2.0,1,2,151.55,Southampton,4
298,1,"Saalfeld, Mr. Adolphe",0,28.0,0,0,30.5,Southampton,1
299,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",1,50.0,0,1,247.5208,Cherbourg,2
300,1,"Kelly, Miss. Anna Katherine ""Annie Kate""",1,28.0,0,0,7.75,Queenstown,1
301,1,"McCoy, Mr. Bernard",0,28.0,2,0,23.25,Queenstown,3
302,0,"Johnson, Mr. William Cahoone Jr",0,19.0,0,0,0.0,Southampton,1
303,1,"Keane, Miss. Nora A",1,28.0,0,0,12.35,Queenstown,1
304,0,"Williams, Mr. Howard Hugh ""Harry""",0,28.0,0,0,8.05,Southampton,1
305,1,"Allison, Master. Hudson Trevor",0,0.92,1,2,151.55,Southampton,4
306,1,"Fleming, Miss. Margaret",1,28.0,0,0,110.8833,Cherbourg,1
307,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",1,17.0,1,0,108.9,Cherbourg,2
308,0,"Abelson, Mr. Samuel",0,30.0,1,0,24.0,Cherbourg,2
309,1,"Francatelli, Miss. Laura Mabel",1,30.0,0,0,56.9292,Cherbourg,1
310,1,"Hays, Miss. Margaret Bechstein",1,24.0,0,0,83.1583,Cherbourg,1
311,1,"Ryerson, Miss. Emily Borie",1,18.0,2,2,262.375,Cherbourg,5
312,0,"Lahtinen, Mrs. William (Anna Sylfven)",1,26.0,1,1,26.0,Southampton,3
